Name(National Stock Exchange of India Ltd ),Start Date,End Date,Accuracy(%)
ICICIBANK.NS,2010-01-01,2021-10-18,59.31

TCS.NS,2010-01-01,2021-10-18,53.7

HDFCBANK.NS,2010-01-01,2021-10-18,52.13

INFY.NS,2010-01-01,2021-10-18,52.75

HINDUNILVR.NS,2010-01-01,2021-10-18,56.55

HDFC.NS,2010-01-01,2021-10-18,55.18

ICICIBANK.NS,2010-01-01,2021-10-18,61.36

KOTAKBANK.NS,2010-01-01,2021-10-18,55.29

SBIN.NS,2010-01-01,2021-10-18,56.35

BAJFINANCE.NS,2010-01-01,2021-10-18,57.99

BHARTIARTL.NS,2010-01-01,2021-10-18,53.72

ITC.NS,2010-01-01,2021-10-18,52.12

HCLTECH.NS,2010-01-01,2021-10-18,53.72

ASIANPAINT.NS,2010-01-01,2021-10-18,57.67

WIPRO.NS,2010-01-01,2021-10-18,56.5

AXISBANK.NS,2010-01-01,2021-10-18,57.55

MARUTI.NS,2010-01-01,2021-10-18,51.83

LT.NS,2010-01-01,2021-10-18,55.93

ULTRACEMCO.NS,2010-01-01,2021-10-18,53.82

DMART.NS,2010-01-01,2021-10-18,51.51

ADANIGREEN.NS,2010-01-01,2021-10-18,51.08

BAJAJFINSV.NS,2010-01-01,2021-10-18,55.53

SUNPHARMA.NS,2010-01-01,2021-10-18,55.82

ADANIPORTS.NS,2010-01-01,2021-10-18,52.55

HDFCLIFE.NS,2010-01-01,2021-10-18,51.38

TITAN.NS,2010-01-01,2021-10-18,55.96

ONGC.NS,2010-01-01,2021-10-18,51.95

HINDZINC.NS,2010-01-01,2021-10-18,55.03

ADANIENT.NS,2010-01-01,2021-10-18,50.18

JSWSTEEL.NS,2010-01-01,2021-10-18,55.81

POWERGRID.NS,2010-01-01,2021-10-18,51.33

SHREECEM.NS,2010-01-01,2021-10-18,59.78

BAJAJ-AUTO.NS,2010-01-01,2021-10-18,55.52

ATGL.NS,2010-01-01,2021-10-18,51.63

NTPC.NS,2010-01-01,2021-10-18,57.88

TATAMOTORS.NS,2010-01-01,2021-10-18,68.17

ADANITRANS.NS,2010-01-01,2021-10-18,52.86

M&M.NS,2010-01-01,2021-10-18,50.96

DIVISLAB.NS,2010-01-01,2021-10-18,55.57

TECHM.NS,2010-01-01,2021-10-18,53.52

DABUR.NS,2010-01-01,2021-10-18,51.79

GRASIM.NS,2010-01-01,2021-10-18,53.95

BPCL.NS,2010-01-01,2021-10-18,59.93

PIDILITIND.NS,2010-01-01,2021-10-18,55.52

